"repetition","fold","min_mess","max_mess","mean_mess","median_mess","q10_mess","q90_mess","auroc_train","auroc_test","diff_perf"
1,1,0,29.7674418604651,12.4269528920692,12.093023255814,4.46511627906976,21.5813953488372,0.860100485100485,0.779891304347826,0.0802091807526588
1,2,-1.03485838779957,47.5728155339806,15.3910618094775,12.1359223300971,1.35922330097087,31.3592233009709,0.869778406412069,0.77972027972028,0.0900581266917893
1,3,-8.49950206830935,31.4814814814815,9.86682642501632,9.72222222222222,-3.10997157059123,23.1481481481481,0.869748260159807,0.711309523809524,0.158438736350284
1,4,-72.5689404934688,51.3089005235602,-0.769626177357367,1.04712041884818,-20.632801161103,25.7591623036649,0.845813478556842,0.766763848396501,0.0790496301603403
1,5,-47.2961771884915,3.19148936170214,-19.9120029262773,-19.7537873299092,-40.7840352133278,-1.01439479132475,0.887779690189329,0.661157024793389,0.226622665395941
2,1,-20.0381857891329,25.2747252747253,-1.03986748518594,-0.396699603331102,-12.7694353912712,6.48351648351649,0.904790782292298,0.808730158730159,0.0960606235621395
2,2,-1.03485838779957,47.8468899521531,15.2880079316268,12.4401913875598,1.14832535885167,31.7703349282297,0.907040704070407,0.694331983805668,0.212708720264739
2,3,-72.5689404934688,36.8932038834951,-3.75852524730297,0.970873786407766,-28.699564586357,25.3398058252427,0.851778093883357,0.833984375,0.0177937188833568
2,4,0,37.6811594202898,12.1492445266728,7.72946859903382,0,31.3043478260869,0.861308411214953,0.85,0.0113084112149533
2,5,-28.4616223928236,3.77358490566039,-12.3101524920325,-11.7043069711364,-25.5900349499435,-1.70403833789954,0.867861945316002,0.755555555555556,0.112306389760446
3,1,0,45.0704225352113,13.6264742929119,12.2065727699531,4.69483568075117,22.5352112676056,0.862568450803744,0.7675,0.0950684508037444
3,2,-1.03485838779957,47.1153846153846,14.7559311721716,12.5,1.44230769230769,30.7692307692308,0.867493291385213,0.786538461538462,0.0809548298467517
3,3,-8.49950206830935,32.1100917431193,9.3923119494023,9.1743119266055,-3.11824690716032,22.9357798165138,0.870375052675937,0.714285714285714,0.156089338390222
3,4,-72.5689404934688,34.4827586206897,-3.03300878128395,0.985221674876847,-20.9579100145138,22.6600985221675,0.842193675889328,0.771367521367521,0.070826154521807
3,5,-47.2961771884915,9.19540229885058,-15.9223379131967,-13.9376143887571,-38.7179923291346,1.26436781609196,0.887674883411059,0.674479166666667,0.213195716744393
4,1,-20.0381857891329,25.2747252747253,-1.03986748518594,-0.396699603331102,-12.7694353912712,6.48351648351649,0.904790782292298,0.808730158730159,0.0960606235621395
4,2,-1.03485838779957,47.8468899521531,15.2880079316268,12.4401913875598,1.14832535885167,31.7703349282297,0.907040704070407,0.694331983805668,0.212708720264739
4,3,-72.5689404934688,36.8932038834951,-3.75852524730297,0.970873786407766,-28.699564586357,25.3398058252427,0.851778093883357,0.833984375,0.0177937188833568
4,4,0,37.6811594202898,12.1492445266728,7.72946859903382,0,31.3043478260869,0.861308411214953,0.85,0.0113084112149533
4,5,-28.4616223928236,3.77358490566039,-12.3101524920325,-11.7043069711364,-25.5900349499435,-1.70403833789954,0.867861945316002,0.755555555555556,0.112306389760446
5,1,0,29.7674418604651,12.4269528920692,12.093023255814,4.46511627906976,21.5813953488372,0.860100485100485,0.779891304347826,0.0802091807526588
5,2,-1.03485838779957,46.6019417475728,15.7349129421636,12.621359223301,2.03883495145631,31.6504854368932,0.870249882131069,0.783216783216783,0.0870330989142861
5,3,-8.49950206830935,32.1100917431193,9.3923119494023,9.1743119266055,-3.11824690716032,22.9357798165138,0.870375052675937,0.714285714285714,0.156089338390222
5,4,-72.5689404934688,34.4827586206897,-3.03300878128395,0.985221674876847,-20.9579100145138,22.6600985221675,0.842193675889328,0.771367521367521,0.070826154521807
5,5,-47.2961771884915,9.19540229885058,-15.9223379131967,-13.9376143887571,-38.7179923291346,1.26436781609196,0.887674883411059,0.674479166666667,0.213195716744393
6,1,0,29.7674418604651,12.4269528920692,12.093023255814,4.46511627906976,21.5813953488372,0.860100485100485,0.779891304347826,0.0802091807526588
6,2,-1.03485838779957,46.6019417475728,15.7349129421636,12.621359223301,2.03883495145631,31.6504854368932,0.870249882131069,0.783216783216783,0.0870330989142861
6,3,-8.49950206830935,32.1100917431193,9.3923119494023,9.1743119266055,-3.11824690716032,22.9357798165138,0.870375052675937,0.714285714285714,0.156089338390222
6,4,-72.5689404934688,34.4827586206897,-3.03300878128395,0.985221674876847,-20.9579100145138,22.6600985221675,0.842193675889328,0.771367521367521,0.070826154521807
6,5,-47.2961771884915,9.19540229885058,-15.9223379131967,-13.9376143887571,-38.7179923291346,1.26436781609196,0.887674883411059,0.674479166666667,0.213195716744393
7,1,-20.0381857891329,25.2747252747253,-1.03986748518594,-0.396699603331102,-12.7694353912712,6.48351648351649,0.904790782292298,0.808730158730159,0.0960606235621395
7,2,-1.03485838779957,47.8468899521531,15.2880079316268,12.4401913875598,1.14832535885167,31.7703349282297,0.907040704070407,0.694331983805668,0.212708720264739
7,3,-72.5689404934688,36.8932038834951,-3.75852524730297,0.970873786407766,-28.699564586357,25.3398058252427,0.851778093883357,0.833984375,0.0177937188833568
7,4,0,37.6811594202898,12.1492445266728,7.72946859903382,0,31.3043478260869,0.861308411214953,0.85,0.0113084112149533
7,5,-28.4616223928236,3.77358490566039,-12.3101524920325,-11.7043069711364,-25.5900349499435,-1.70403833789954,0.867861945316002,0.755555555555556,0.112306389760446
8,1,-20.0381857891329,25.2747252747253,-1.03986748518594,-0.396699603331102,-12.7694353912712,6.48351648351649,0.904790782292298,0.808730158730159,0.0960606235621395
8,2,-1.03485838779957,47.8468899521531,15.2880079316268,12.4401913875598,1.14832535885167,31.7703349282297,0.907040704070407,0.694331983805668,0.212708720264739
8,3,-72.5689404934688,36.8932038834951,-3.75852524730297,0.970873786407766,-28.699564586357,25.3398058252427,0.851778093883357,0.833984375,0.0177937188833568
8,4,0,37.6811594202898,12.1492445266728,7.72946859903382,0,31.3043478260869,0.861308411214953,0.85,0.0113084112149533
8,5,-28.4616223928236,3.77358490566039,-12.3101524920325,-11.7043069711364,-25.5900349499435,-1.70403833789954,0.867861945316002,0.755555555555556,0.112306389760446
9,1,-19.4140939360987,20.3208556149733,-0.964193870146668,-0.102610401025915,-12.6691790150436,6.41711229946524,0.907598714416896,0.824175824175824,0.0834228902410717
9,2,-1.03485838779957,46.6019417475728,15.1685699000924,12.1359223300971,2.03883495145631,31.6504854368932,0.910129330690078,0.666071428571429,0.24405790211865
9,3,-72.5689404934688,36.2745098039216,-2.79626723760122,0.980392156862745,-23.5384615384615,30.5882352941176,0.858425881216804,0.847222222222222,0.0112036589945818
9,4,0,37.6811594202898,12.1492445266728,7.72946859903382,0,31.3043478260869,0.861308411214953,0.85,0.0113084112149533
9,5,-28.4616223928236,3.77358490566039,-12.3101524920325,-11.7043069711364,-25.5900349499435,-1.70403833789954,0.867861945316002,0.755555555555556,0.112306389760446
10,1,0,45.0704225352113,13.6264742929119,12.2065727699531,4.69483568075117,22.5352112676056,0.862568450803744,0.7675,0.0950684508037444
10,2,-1.03485838779957,48.3091787439614,14.4296211649425,11.5942028985507,1.15942028985507,30.9178743961353,0.864935550158789,0.787545787545788,0.077389762613001
10,3,-8.49950206830935,31.4814814814815,9.86682642501632,9.72222222222222,-3.10997157059123,23.1481481481481,0.869748260159807,0.711309523809524,0.158438736350284
10,4,-72.5689404934688,51.3089005235602,-0.769626177357367,1.04712041884818,-20.632801161103,25.7591623036649,0.845813478556842,0.766763848396501,0.0790496301603403
10,5,-44.4771128553172,4.23280423280423,-18.1326374416661,-17.7858099990324,-38.1972075188048,0.63492063492064,0.889909297052154,0.657505285412262,0.232404011639892
